"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Itapagipe (MG)","MG","2","7.222","27,7"
"Missão Velha (CE)","CE","5","18.057","27,7"
"Andorinha (BA)","BA","2","7.224","27,7"
"Campestre do Maranhão (MA)","MA","2","7.250","27,6"
"Cabreúva (SP)","SP","7","25.379","27,6"
"Santa Bárbara (BA)","BA","3","10.882","27,6"
"Alto Longá (PI)","PI","2","7.256","27,6"
"Alagoinha (PE)","PE","2","7.257","27,6"
"Guiratinga (MT)","MT","2","7.260","27,5"
"Camocim (CE)","CE","9","32.688","27,5"
"Campo Verde (MT)","MT","6","21.798","27,5"
"Boquira (BA)","BA","3","10.901","27,5"
"Santana da Vargem (MG)","MG","1","3.634","27,5"
"Junco do Seridó (PB)","PB","1","3.634","27,5"
"Paracatu (MG)","MG","13","47.327","27,5"
"Felisburgo (MG)","MG","1","3.642","27,5"
"Lagarto (SE)","SE","15","54.654","27,4"
"Colônia Leopoldina (AL)","AL","3","10.946","27,4"
"Ibicaraí (BA)","BA","3","10.963","27,4"
"Terezinha (PE)","PE","1","3.664","27,3"
"Barro Duro (PI)","PI","1","3.665","27,3"
"Laranjal Paulista (SP)","SP","4","14.667","27,3"
"Guanambi (BA)","BA","12","44.005","27,3"
"Orós (CE)","CE","3","11.010","27,2"
"Maracajá (SC)","SC","1","3.670","27,2"
"Paraibano (MA)","MA","3","11.016","27,2"
"Abatiá (PR)","PR","1","3.680","27,2"
"Ametista do Sul (RS)","RS","1","3.682","27,2"
"Ouro Preto do Oeste (RO)","RO","5","18.441","27,1"
"Taquaritinga (SP)","SP","8","29.511","27,1"
"Jenipapo de Minas (MG)","MG","1","3.689","27,1"
"Parelhas (RN)","RN","3","11.071","27,1"
"Santana de Pirapama (MG)","MG","1","3.694","27,1"
"Porto Grande (AP)","AP","3","11.086","27,1"
"Ipiranga do Norte (MT)","MT","1","3.702","27,0"
"Itatim (BA)","BA","2","7.406","27,0"
"Boa Esperança (ES)","ES","2","7.407","27,0"
"Manaus (AM)","AM","313","1.159.288","27,0"
"Simões (PI)","PI","2","7.411","27,0"
"Uruçuí (PI)","PI","3","11.124","27,0"
"Granito (PE)","PE","1","3.709","27,0"
"Irajuba (BA)","BA","1","3.713","26,9"
"Redenção (CE)","CE","4","14.852","26,9"
"Presidente Figueiredo (AM)","AM","5","18.584","26,9"
"Itaberaba (BA)","BA","9","33.471","26,9"
"Muniz Ferreira (BA)","BA","1","3.724","26,9"
"Jequitaí (MG)","MG","1","3.725","26,8"
"Tamarana (PR)","PR","2","7.456","26,8"
"Miguelópolis (SP)","SP","3","11.186","26,8"
"Laguna Carapã (MS)","MS","1","3.730","26,8"
"São Pedro do Turvo (SP)","SP","1","3.736","26,8"
"Quixeré (CE)","CE","3","11.214","26,8"
"Barro Alto (BA)","BA","2","7.488","26,7"
"Ipeúna (SP)","SP","1","3.744","26,7"
"Rio do Oeste (SC)","SC","1","3.746","26,7"
"Apiacá (ES)","ES","1","3.749","26,7"
"Santa Branca (SP)","SP","2","7.500","26,7"
"Lagoa de Pedras (RN)","RN","1","3.751","26,7"
"Luís Antônio (SP)","SP","2","7.502","26,7"
"Coimbra (MG)","MG","1","3.754","26,6"
"Delfim Moreira (MG)","MG","1","3.755","26,6"
"União (PI)","PI","6","22.549","26,6"
"Luís Correia (PI)","PI","4","15.051","26,6"
"Cajueiro da Praia (PI)","PI","1","3.764","26,6"
"Itaporanga (SP)","SP","2","7.530","26,6"
"Casserengue (PB)","PB","1","3.775","26,5"
"Santa Fé do Araguaia (TO)","TO","1","3.776","26,5"
"Alpercata (MG)","MG","1","3.787","26,4"
"Rio Brilhante (MS)","MS","5","18.940","26,4"
"Palmeirais (PI)","PI","2","7.577","26,4"
"Quatis (RJ)","RJ","2","7.577","26,4"
"São Miguel de Taipu (PB)","PB","1","3.790","26,4"
"São João do Oriente (MG)","MG","1","3.792","26,4"
"Ibipitanga (BA)","BA","2","7.589","26,4"
"Itabela (BA)","BA","4","15.191","26,3"
"Trombudo Central (SC)","SC","1","3.800","26,3"
"Pompéia (SP)","SP","3","11.401","26,3"
"Placas (PA)","PA","4","15.204","26,3"
"Mutuípe (BA)","BA","3","11.407","26,3"
"Bonito (MS)","MS","3","11.411","26,3"
"Arari (MA)","MA","4","15.226","26,3"
"Encruzilhada (BA)","BA","2","7.614","26,3"
"Passo de Camaragibe (AL)","AL","2","7.616","26,3"
"Teodoro Sampaio (BA)","BA","1","3.811","26,2"
"Palmital (SP)","SP","3","11.434","26,2"
"Cônego Marinho (MG)","MG","1","3.815","26,2"
"Pancas (ES)","ES","3","11.446","26,2"
"Cametá (PA)","PA","18","68.704","26,2"
"Alagoinha do Piauí (PI)","PI","1","3.817","26,2"
"Trizidela do Vale (MA)","MA","3","11.457","26,2"
"Sanclerlândia (GO)","GO","1","3.825","26,1"
"Muribeca (SE)","SE","1","3.826","26,1"
"Amaraji (PE)","PE","3","11.484","26,1"
"Orocó (PE)","PE","2","7.663","26,1"
"Lagoa Real (BA)","BA","2","7.670","26,1"
"Areia (PB)","PB","3","11.508","26,1"
"Alvinópolis (MG)","MG","2","7.678","26,0"
"Barreira (CE)","CE","3","11.520","26,0"
"Campo Alegre de Goiás (GO)","GO","1","3.840","26,0"
"Ribamar Fiquene (MA)","MA","1","3.850","26,0"
"Umari (CE)","CE","1","3.858","25,9"
"Eldorado (SP)","SP","2","7.720","25,9"
"São João do Paraíso (MG)","MG","3","11.586","25,9"
"Timon (MA)","MA","23","88.854","25,9"
"São Félix do Coribe (BA)","BA","2","7.728","25,9"
"Irará (BA)","BA","4","15.459","25,9"
"Valparaíso (SP)","SP","3","11.615","25,8"
"Teotônio Vilela (AL)","AL","6","23.239","25,8"
"Dom Aquino (MT)","MT","1","3.875","25,8"
"Grão Mogol (MG)","MG","2","7.753","25,8"
"Curral de Dentro (MG)","MG","1","3.879","25,8"
"Beberibe (CE)","CE","7","27.158","25,8"
"Figueira (PR)","PR","1","3.883","25,8"
"Poço Branco (RN)","RN","2","7.770","25,7"
"Ferreira Gomes (AP)","AP","1","3.893","25,7"
"Caridade (CE)","CE","3","11.700","25,6"
"Igaporã (BA)","BA","2","7.803","25,6"
"Riachinho (MG)","MG","1","3.905","25,6"
"Abaeté (MG)","MG","3","11.716","25,6"
"Barra de Santa Rosa (PB)","PB","2","7.814","25,6"
"Senador Firmino (MG)","MG","1","3.914","25,5"
"Goianésia (GO)","GO","9","35.237","25,5"
"São Mamede (PB)","PB","1","3.919","25,5"
"Coremas (PB)","PB","2","7.839","25,5"
"São João (PE)","PE","3","11.760","25,5"
"Jaborandi (BA)","BA","1","3.921","25,5"
"Bodoquena (MS)","MS","1","3.921","25,5"
"Ipanguaçu (RN)","RN","2","7.859","25,4"
"São Simão (SP)","SP","2","7.863","25,4"
"Mojuí dos Campos (PA)","PA","2","7.865","25,4"
"Sobradinho (BA)","BA","3","11.828","25,4"
"Cambira (PR)","PR","1","3.947","25,3"
"Saboeiro (CE)","CE","2","7.902","25,3"
"Nova Fátima (BA)","BA","1","3.956","25,3"
"Monsenhor Hipólito (PI)","PI","1","3.958","25,3"
"Capanema (PA)","PA","9","35.639","25,3"
"Carutapera (MA)","MA","3","11.896","25,2"
"Tremedal (BA)","BA","2","7.954","25,1"
"Mozarlândia (GO)","GO","2","7.962","25,1"
"Pindaí (BA)","BA","2","7.963","25,1"
"Tanquinho (BA)","BA","1","3.983","25,1"
"Joaquim Nabuco (PE)","PE","2","7.966","25,1"
"Princesa Isabel (PB)","PB","3","11.964","25,1"
"Pinheiro (MA)","MA","11","43.888","25,1"
"Campinápolis (MT)","MT","2","7.986","25,0"
"Guimarânia (MG)","MG","1","3.995","25,0"
"Nova Andradina (MS)","MS","7","27.985","25,0"
"América Dourada (BA)","BA","2","8.027","24,9"
"Biritinga (BA)","BA","2","8.039","24,9"
"São João do Arraial (PI)","PI","1","4.020","24,9"
"Uauá (BA)","BA","3","12.072","24,9"
"Santa Bárbara do Sul (RS)","RS","1","4.025","24,8"
"Alto Rio Novo (ES)","ES","1","4.026","24,8"
"Barra dos Coqueiros (SE)","SE","4","16.128","24,8"
"Brasilândia de Minas (MG)","MG","2","8.074","24,8"
"Pavão (MG)","MG","1","4.041","24,7"
"Salvaterra (PA)","PA","3","12.140","24,7"
"Lagoa Nova (RN)","RN","2","8.101","24,7"
"Ascurra (SC)","SC","1","4.053","24,7"
"Magalhães Barata (PA)","PA","1","4.055","24,7"
"Canhotinho (PE)","PE","3","12.173","24,6"
"Exu (PE)","PE","4","16.262","24,6"
"Icém (SP)","SP","1","4.066","24,6"
"João Lisboa (MA)","MA","3","12.216","24,6"
"Rio Branco do Sul (PR)","PR","4","16.295","24,5"
"Santo Antônio do Tauá (PA)","PA","4","16.335","24,5"
"Feira Nova do Maranhão (MA)","MA","1","4.086","24,5"
"Porto Seguro (BA)","BA","19","77.644","24,5"
"Bonito (PA)","PA","2","8.174","24,5"
"Agudo (RS)","RS","2","8.176","24,5"
"Benevides (PA)","PA","8","32.706","24,5"
"Ibiaí (MG)","MG","1","4.093","24,4"
"São Benedito (CE)","CE","6","24.587","24,4"
"Pocrane (MG)","MG","1","4.101","24,4"
"Rosana (SP)","SP","2","8.203","24,4"
"São José da Laje (AL)","AL","3","12.331","24,3"
"Campanha (MG)","MG","2","8.224","24,3"
"Campo Erê (SC)","SC","1","4.112","24,3"
"Macau (RN)","RN","4","16.452","24,3"
"General Câmara (RS)","RS","1","4.116","24,3"
"Brejo Grande (SE)","SE","1","4.121","24,3"
"Rio Real (BA)","BA","5","20.623","24,2"
"Paulínia (SP)","SP","14","57.820","24,2"
"Lucas do Rio Verde (MT)","MT","8","33.064","24,2"
"Elísio Medrado (BA)","BA","1","4.137","24,2"
"Riachuelo (RN)","RN","1","4.139","24,2"
"Juína (MT)","MT","5","20.698","24,2"
"Picos (PI)","PI","10","41.424","24,1"
"Araguaçu (TO)","TO","1","4.143","24,1"
"Alvorada (TO)","TO","1","4.144","24,1"
"Macapá (AP)","AP","64","265.224","24,1"
"Guaraçaí (SP)","SP","1","4.156","24,1"
"Urbano Santos (MA)","MA","4","16.636","24,0"
"Lindóia (SP)","SP","1","4.161","24,0"
"Poté (MG)","MG","2","8.323","24,0"
"Iaçu (BA)","BA","3","12.489","24,0"
"Jequitinhonha (MG)","MG","3","12.495","24,0"
"Altos (PI)","PI","5","20.825","24,0"
"Cícero Dantas (BA)","BA","4","16.716","23,9"
"São Domingos do Norte (ES)","ES","1","4.181","23,9"
"Tuneiras do Oeste (PR)","PR","1","4.182","23,9"
"Marcelino Vieira (RN)","RN","1","4.203","23,8"
"Nova Maringá (MT)","MT","1","4.214","23,7"
"Mata Grande (AL)","AL","3","12.645","23,7"
"Belo Campo (BA)","BA","2","8.464","23,6"
"Itaporanga (PB)","PB","3","12.698","23,6"
"Central (BA)","BA","2","8.466","23,6"
"Conde (PB)","PB","3","12.716","23,6"
"Ilha das Flores (SE)","SE","1","4.240","23,6"
"Castanheira (MT)","MT","1","4.241","23,6"
"Apicum-Açu (MA)","MA","2","8.483","23,6"
"Paverama (RS)","RS","1","4.243","23,6"
"São Miguel do Oeste (SC)","SC","5","21.239","23,5"
"Japaratinga (AL)","AL","1","4.251","23,5"
"Ibititá (BA)","BA","2","8.508","23,5"
"Aparecida (PB)","PB","1","4.258","23,5"
"Santa Cecília (SC)","SC","2","8.522","23,5"
"Bacabal (MA)","MA","13","55.403","23,5"
"Piquet Carneiro (CE)","CE","2","8.524","23,5"
"Água Fria (BA)","BA","2","8.526","23,5"
"Jaguaruana (CE)","CE","4","17.062","23,4"
"Rio Verde (GO)","GO","28","119.479","23,4"
"Barra de São Miguel (AL)","AL","1","4.270","23,4"
"Severínia (SP)","SP","2","8.545","23,4"
"Gado Bravo (PB)","PB","1","4.274","23,4"
"Açu (RN)","RN","7","29.950","23,4"
"Mata Roma (MA)","MA","2","8.573","23,3"
"Miguel Alves (PI)","PI","4","17.149","23,3"
"Coelho Neto (MA)","MA","6","25.733","23,3"
"Comendador Levy Gasparian (RJ)","RJ","1","4.294","23,3"
"Piranguinho (MG)","MG","1","4.299","23,3"
"Brejo Santo (CE)","CE","6","25.800","23,3"
"Tabaporã (MT)","MT","1","4.302","23,2"
"Matriz de Camaragibe (AL)","AL","3","12.929","23,2"
"Grajaú (MA)","MA","8","34.546","23,2"
"Poço Redondo (SE)","SE","4","17.274","23,2"
"Ibitirama (ES)","ES","1","4.320","23,1"
"Jataúba (PE)","PE","2","8.644","23,1"
"Congonhinhas (PR)","PR","1","4.328","23,1"
"Cacimba de Dentro (PB)","PB","2","8.660","23,1"
"Moraújo (CE)","CE","1","4.339","23,0"
"Piranga (MG)","MG","2","8.678","23,0"
"Bom Jesus dos Perdões (SP)","SP","3","13.024","23,0"
"Macaparana (PE)","PE","3","13.032","23,0"
"Agrestina (PE)","PE","3","13.099","22,9"
"Rosário (MA)","MA","5","21.876","22,9"
"Fortuna (MA)","MA","2","8.759","22,8"
"Angelândia (MG)","MG","1","4.383","22,8"
"Santa Cruz do Capibaribe (PE)","PE","13","57.042","22,8"
"Mataraca (PB)","PB","1","4.390","22,8"
"Santa Helena (MA)","MA","5","21.967","22,8"
"São Bento (PB)","PB","4","17.589","22,7"
"Pedro Canário (ES)","ES","3","13.213","22,7"
"Itaberaí (GO)","GO","5","22.024","22,7"
"Aratuípe (BA)","BA","1","4.407","22,7"
"Itaporanga d'Ajuda (SE)","SE","4","17.634","22,7"
"São Domingos do Prata (MG)","MG","2","8.840","22,6"
"Guaiúba (CE)","CE","3","13.262","22,6"
"Sant'Ana do Livramento (RS)","RS","9","39.794","22,6"
"Amapá (AP)","AP","1","4.428","22,6"
"Santana do Cariri (CE)","CE","2","8.857","22,6"
"Itapicuru (BA)","BA","4","17.715","22,6"
"Varzedo (BA)","BA","1","4.431","22,6"
"Quipapá (PE)","PE","3","13.295","22,6"
"Redenção do Gurguéia (PI)","PI","1","4.432","22,6"
"Zé Doca (MA)","MA","6","26.620","22,5"
"Cipó (BA)","BA","2","8.876","22,5"
"Águas Belas (PE)","PE","5","22.253","22,5"
"Santana (BA)","BA","3","13.363","22,5"
"Nova Redenção (BA)","BA","1","4.455","22,4"
"Delta (MG)","MG","1","4.455","22,4"
"Icatu (MA)","MA","3","13.371","22,4"
"Coronel Murta (MG)","MG","1","4.458","22,4"
"Novo Progresso (PA)","PA","3","13.387","22,4"
"Carnaubal (CE)","CE","2","8.928","22,4"
"Nossa Senhora Aparecida (SE)","SE","1","4.467","22,4"
"Anajatuba (MA)","MA","3","13.422","22,4"
"Tomé-Açu (PA)","PA","7","31.331","22,3"
"Viana (MA)","MA","6","26.862","22,3"
"Acaraú (CE)","CE","7","31.359","22,3"
"Capistrano (CE)","CE","2","8.974","22,3"
"Barreiras (BA)","BA","18","80.920","22,2"
"Sapucaia (RJ)","RJ","2","9.009","22,2"
"Caputira (MG)","MG","1","4.507","22,2"
"Fronteira (MG)","MG","2","9.022","22,2"
"Nísia Floresta (RN)","RN","3","13.534","22,2"
"Anapu (PA)","PA","3","13.535","22,2"
"Sapeaçu (BA)","BA","2","9.061","22,1"
"Altamira (PA)","PA","13","58.923","22,1"
"Cruzeiro do Sul (AC)","AC","10","45.333","22,1"
"Itauçu (GO)","GO","1","4.543","22,0"
"Planaltino (BA)","BA","1","4.545","22,0"
"Panelas (PE)","PE","3","13.642","22,0"
"Cachoeira Grande (MA)","MA","1","4.549","22,0"
"Santa Cruz de Minas (MG)","MG","1","4.551","22,0"
"Cruz Machado (PR)","PR","2","9.102","22,0"
"Pinheiros (ES)","ES","3","13.655","22,0"
"Itabaiana (SE)","SE","11","50.087","22,0"
"Euclides da Cunha Paulista (SP)","SP","1","4.559","21,9"
"Santo Amaro (BA)","BA","7","31.923","21,9"
"Codó (MA)","MA","14","63.932","21,9"
"Governador Edison Lobão (MA)","MA","2","9.168","21,8"
"Palmeiras (BA)","BA","1","4.589","21,8"
"Mambaí (GO)","GO","1","4.589","21,8"
"Riacho dos Machados (MG)","MG","1","4.592","21,8"
"Valença (BA)","BA","11","50.615","21,7"
"Boa Vista do Tupim (BA)","BA","2","9.227","21,7"
"São João do Rio do Peixe (PB)","PB","2","9.245","21,6"
"Pilar (AL)","AL","4","18.514","21,6"
"Lontra (MG)","MG","1","4.633","21,6"
"Piracaia (SP)","SP","3","13.926","21,5"
"Cairu (BA)","BA","2","9.295","21,5"
"Mirangaba (BA)","BA","2","9.295","21,5"
"Humberto de Campos (MA)","MA","3","13.946","21,5"
"Formoso (MG)","MG","1","4.651","21,5"
"Águia Branca (ES)","ES","1","4.652","21,5"
"Cachoeira de Pajeú (MG)","MG","1","4.654","21,5"
"Jataí (GO)","GO","11","51.379","21,4"
"Piraí do Norte (BA)","BA","1","4.673","21,4"
"Porto Acre (AC)","AC","2","9.351","21,4"
"Inhapi (AL)","AL","2","9.360","21,4"
"Crato (CE)","CE","15","70.370","21,3"
"Sítio do Quinto (BA)","BA","1","4.707","21,2"
"Pirambu (SE)","SE","1","4.708","21,2"
"Messias (AL)","AL","2","9.438","21,2"
"Bacuri (MA)","MA","2","9.443","21,2"
"Pirapemas (MA)","MA","2","9.449","21,2"
"Bujaru (PA)","PA","3","14.191","21,1"
"Ingá (PB)","PB","2","9.463","21,1"
"Águas Formosas (MG)","MG","2","9.470","21,1"
"Itanhém (BA)","BA","2","9.471","21,1"
"Dom Inocêncio (PI)","PI","1","4.736","21,1"
"Santanópolis (BA)","BA","1","4.746","21,1"
"Igaratá (SP)","SP","1","4.759","21,0"
"Maracanã (PA)","PA","3","14.288","21,0"
"Triunfo (PB)","PB","1","4.763","21,0"
"Papanduva (SC)","SC","2","9.565","20,9"
"Toritama (PE)","PE","5","23.917","20,9"
"Esplanada (BA)","BA","4","19.156","20,9"
"Herculândia (SP)","SP","1","4.789","20,9"
"Petrolina de Goiás (GO)","GO","1","4.791","20,9"
"Itapeva (MG)","MG","1","4.800","20,8"
"Ituaçu (BA)","BA","2","9.612","20,8"
"Japaratuba (SE)","SE","2","9.618","20,8"
"Novo Mundo (MT)","MT","1","4.810","20,8"
"Mauriti (CE)","CE","5","24.059","20,8"
"Araripina (PE)","PE","9","43.329","20,8"
"Augustinópolis (TO)","TO","2","9.632","20,8"
"Cabaceiras do Paraguaçu (BA)","BA","2","9.651","20,7"
"Penalva (MA)","MA","4","19.306","20,7"
"Santana (AP)","AP","13","62.795","20,7"
"Balsas (MA)","MA","10","48.439","20,6"
"Alto Araguaia (MT)","MT","2","9.689","20,6"
"Monte Santo (BA)","BA","5","24.291","20,6"
"Miracatu (SP)","SP","2","9.720","20,6"
"São Gabriel da Palha (ES)","ES","4","19.543","20,5"
"Pastos Bons (MA)","MA","2","9.772","20,5"
"Santo Antônio do Descoberto (GO)","GO","8","39.144","20,4"
"Medicilândia (PA)","PA","3","14.679","20,4"
"Ipuiúna (MG)","MG","1","4.899","20,4"
"Alpinópolis (MG)","MG","2","9.801","20,4"
"Apiacás (MT)","MT","1","4.918","20,3"
"Paranaiguara (GO)","GO","1","4.938","20,3"
"Valente (BA)","BA","3","14.821","20,2"
"Birigui (SP)","SP","13","64.333","20,2"
"Nova Bassano (RS)","RS","1","4.962","20,2"
"Aruanã (GO)","GO","1","4.977","20,1"
"Patrocínio (MG)","MG","9","44.813","20,1"
"Bom Retiro (SC)","SC","1","5.015","19,9"
"Rio Pardo de Minas (MG)","MG","3","15.052","19,9"
"Rubiataba (GO)","GO","2","10.036","19,9"
"Santa Maria Madalena (RJ)","RJ","1","5.024","19,9"
"Wenceslau Guimarães (BA)","BA","2","10.062","19,9"
"Bom Jesus da Lapa (BA)","BA","7","35.264","19,9"
"Carmo do Rio Verde (GO)","GO","1","5.044","19,8"
"Umbuzeiro (PB)","PB","1","5.044","19,8"
"Ipiranga do Piauí (PI)","PI","1","5.044","19,8"
"Curuçá (PA)","PA","4","20.199","19,8"
"Envira (AM)","AM","2","10.107","19,8"
"Macaúbas (BA)","BA","5","25.298","19,8"
"Mulungu (PB)","PB","1","5.069","19,7"
"Itapipoca (CE)","CE","13","66.055","19,7"
"Chapadão do Céu (GO)","GO","1","5.083","19,7"
"Itapema (SC)","SC","7","35.618","19,7"
"São Miguel do Gostoso (RN)","RN","1","5.094","19,6"
"Constantina (RS)","RS","1","5.097","19,6"
"Uchoa (SP)","SP","1","5.106","19,6"
"Senador José Porfírio (PA)","PA","1","5.107","19,6"
"Abadiânia (GO)","GO","2","10.219","19,6"
"Parnaguá (PI)","PI","1","5.111","19,6"
"Caarapó (MS)","MS","3","15.353","19,5"
"Dona Inês (PB)","PB","1","5.144","19,4"
"Ribeirão Cascalheira (MT)","MT","1","5.160","19,4"
"Muritiba (BA)","BA","3","15.504","19,3"
"Itapuã do Oeste (RO)","RO","1","5.169","19,3"
"Chapadinha (MA)","MA","8","41.376","19,3"
"Alta Floresta (MT)","MT","5","25.902","19,3"
"Beneditinos (PI)","PI","1","5.182","19,3"
"Almenara (MG)","MG","4","20.740","19,3"
"Marcionílio Souza (BA)","BA","1","5.188","19,3"
"Jacinto Machado (SC)","SC","1","5.200","19,2"
"Ibirubá (RS)","RS","2","10.404","19,2"
"Laranjeiras (SE)","SE","3","15.613","19,2"
"Catarina (CE)","CE","2","10.427","19,2"
"Vargem (SP)","SP","1","5.214","19,2"
"Jordânia (MG)","MG","1","5.220","19,2"
"Centro Novo do Maranhão (MA)","MA","2","10.446","19,1"
"Paraisópolis (MG)","MG","2","10.450","19,1"
"Taquarana (AL)","AL","2","10.453","19,1"
"Monte Alegre do Piauí (PI)","PI","1","5.227","19,1"
"Jatobá (MA)","MA","1","5.230","19,1"
"Terenos (MS)","MS","2","10.485","19,1"
"Brotas de Macaúbas (BA)","BA","1","5.243","19,1"
"Ortigueira (PR)","PR","2","10.486","19,1"
"Arceburgo (MG)","MG","1","5.246","19,1"
"Arataca (BA)","BA","1","5.251","19,0"
"Arraias (TO)","TO","1","5.256","19,0"
"Itapebi (BA)","BA","1","5.262","19,0"
"Faxinal dos Guedes (SC)","SC","1","5.269","19,0"
"São Francisco do Guaporé (RO)","RO","2","10.555","18,9"
"Natuba (PB)","PB","1","5.278","18,9"
"Érico Cardoso (BA)","BA","1","5.285","18,9"
"Jandaíra (BA)","BA","1","5.289","18,9"
"São José do Jacuípe (BA)","BA","1","5.294","18,9"
"Mazagão (AP)","AP","2","10.590","18,9"
"Capim Grosso (BA)","BA","3","15.938","18,8"
"Bela Vista de Minas (MG)","MG","1","5.320","18,8"
"Primavera (PA)","PA","1","5.325","18,8"
"Rincão (SP)","SP","1","5.342","18,7"
"Mauá da Serra (PR)","PR","1","5.344","18,7"
"Paratinga (BA)","BA","3","16.035","18,7"
"Igaratinga (MG)","MG","1","5.355","18,7"
"Mirante da Serra (RO)","RO","1","5.365","18,6"
"Uruará (PA)","PA","4","21.466","18,6"
"Juscimeira (MT)","MT","1","5.367","18,6"
"Umarizal (RN)","RN","1","5.367","18,6"
"São Bento do Sapucaí (SP)","SP","1","5.369","18,6"
"Alto Taquari (MT)","MT","1","5.370","18,6"
"Pacaembu (SP)","SP","1","5.373","18,6"
"Anicuns (GO)","GO","2","10.750","18,6"
"Santa Bárbara do Pará (PA)","PA","2","10.765","18,6"
"Nova Olinda do Maranhão (MA)","MA","2","10.793","18,5"
"Barro Alto (GO)","GO","1","5.403","18,5"
"Oliveira dos Brejinhos (BA)","BA","2","10.807","18,5"
"Monsenhor Gil (PI)","PI","1","5.418","18,5"
"Sapé (PB)","PB","5","27.097","18,5"
"Caracol (PI)","PI","1","5.434","18,4"
"Coité do Nóia (AL)","AL","1","5.437","18,4"
"Salgadinho (PE)","PE","1","5.444","18,4"
"Barros Cassal (RS)","RS","1","5.444","18,4"
"Paramirim (BA)","BA","2","10.890","18,4"
"Rialma (GO)","GO","1","5.455","18,3"
"Cururupu (MA)","MA","3","16.365","18,3"
"Nova Floresta (PB)","PB","1","5.455","18,3"
"Pedralva (MG)","MG","1","5.465","18,3"
"Pires Ferreira (CE)","CE","1","5.482","18,2"
"Araripe (CE)","CE","2","10.976","18,2"
"São Pedro do Ivaí (PR)","PR","1","5.489","18,2"
"Urupá (RO)","RO","1","5.491","18,2"
"Tacima (PB)","PB","1","5.500","18,2"
"Gandu (BA)","BA","3","16.538","18,1"
"Mulungu (CE)","CE","1","5.513","18,1"
"Capinzal do Norte (MA)","MA","1","5.515","18,1"
"Paraipaba (CE)","CE","3","16.548","18,1"
"Xambioá (TO)","TO","1","5.517","18,1"
"Governador Archer (MA)","MA","1","5.521","18,1"
"Goianápolis (GO)","GO","1","5.523","18,1"
"Pacajá (PA)","PA","4","22.134","18,1"
"Presidente Vargas (MA)","MA","1","5.556","18,0"
"Bom Jesus (RS)","RS","1","5.563","18,0"
"São Marcos (RS)","RS","2","11.143","17,9"
"Avanhandava (SP)","SP","1","5.582","17,9"
"Iacanga (SP)","SP","1","5.598","17,9"
"Cunha Porã (SC)","SC","1","5.599","17,9"
"Cumaru do Norte (PA)","PA","1","5.607","17,8"
